id,title,organization,sector,location,skills,duration,stipend,type,mode
1,Tour Planning Intern,PolicyWorks India,Tourism,Bhopal,Content Writing|Digital Marketing|Excel|Java|JavaScript,2 months,11000,Govt,Offline
2,Governance Analyst Intern,AgriNova Collective,Public Policy,Kochi,Content Writing|Excel|Figma|HTML|Research|SQL,6 months,12000,Govt,Online
3,Graphic Design Intern,GreenGrowth Initiatives,Design,Ahmedabad,AutoCAD|C|Canva|Figma|Illustrator|Networking|Python|Research,2 months,12000,NGO,Hybrid
4,Governance Analyst Intern,GreenGrowth Initiatives,Public Policy,Kochi,Canva|Content Writing|Excel|Illustrator|Research|SPSS|SQL|Tally|UI/UX,1 month,13000,Govt,Offline
5,Data Analyst Intern,DataPulse Analytics,Data Analytics,Remote,Excel|Power BI|R|SEO|Tally,6 months,7000,Govt,Online
6,Business Intelligence Intern,GreenGrowth Initiatives,Data Analytics,Bengaluru,Data Entry|Digital Marketing|Excel|HTML|Networking|QGIS|R,6 months,3000,Govt,Hybrid
7,Tour Planning Intern,GreenGrowth Initiatives,Tourism,Remote,Content Writing|Digital Marketing|GST|React|SEO|SolidWorks,6 months,8500,Govt,Online
8,Legal Research Intern,Innovate Labs,Law,Nagpur,Content Writing|Java|JavaScript|Networking|Research|UI/UX,1 month,12500,Private,Hybrid
9,Solar Projects Intern,UrbanRise Solutions,Renewable Energy,Hyderabad,AutoCAD|HTML|Linux|SEO,3 months,12500,Private,Hybrid
10,Academic Research Intern,DataPulse Analytics,Education,Chennai,Content Writing|Research|SolidWorks|UI/UX,6 months,7500,Private,Offline
11,Data Analyst Intern,SecureNet Systems,Data Analytics,Ahmedabad,C|Excel|HTML|Illustrator|Python|R|SPSS,6 months,6500,PSU,Online
12,Field Operations Intern,Insight Finance Group,Agriculture,Indore,ArcGIS|Data Entry|HTML|Power BI|React|Research|SPSS|Typing,1 month,4500,Private,Hybrid
13,Civic Tech Intern,MapCraft GIS,E-Governance,Surat,C|CSS|Data Entry|Excel|GST|React,6 months,3500,Startup,Hybrid
14,Operations Intern,Spectrum Media House,Logistics,Jaipur,ArcGIS|Digital Marketing|Excel|Power BI|QGIS|R|SQL|Tally,3 months,13500,Startup,Online
15,Graphic Design Intern,NextGen Logistics,Design,Lucknow,Content Writing|Illustrator|UI/UX,1 month,12500,NGO,Hybrid
16,Cyber Risk Intern,Spectrum Media House,Cybersecurity,Mysuru,AutoCAD|Data Entry|Linux|Networking|Python|R|Tableau,2 months,10500,NGO,Offline
17,Academic Research Intern,Skyline Innovations,Education,Kolkata,Content Writing|Excel|Photoshop|QGIS|React|Research|Typing,2 months,11500,Private,Offline
18,Solar Projects Intern,EduBridge Alliance,Renewable Energy,Ranchi,AutoCAD|Excel|Figma|GST|Research|Tableau|UI/UX,1 month,14000,Govt,Hybrid
19,Operations Intern,FutureWave Tech,Logistics,Remote,ArcGIS|Content Writing|HTML|JavaScript|Networking|Power BI|Tally,6 months,14000,Startup,Offline
20,Full Stack Intern,Insight Finance Group,IT,Hyderabad,Illustrator|Networking|React|Tableau|Tally,1 month,8500,PSU,Offline
21,Healthcare Data Intern,UrbanRise Solutions,Healthcare,Guwahati,AutoCAD|C|Digital Marketing|Java|Research|Tableau|Typing,2 months,5000,PSU,Online
22,Product Design Intern,TourEase Travels,Design,Visakhapatnam,AutoCAD|Content Writing|Figma|GST|Illustrator|Photoshop,6 months,11000,PSU,Offline
23,Learning Design Intern,PolicyWorks India,Education,Bhopal,CSS|Content Writing|Excel|Photoshop|Research|Tableau,1 month,14000,Startup,Hybrid
24,Governance Analyst Intern,MapCraft GIS,Public Policy,Surat,C++|Content Writing|Data Entry|Excel|Illustrator|Networking|R|Research|SolidWorks,3 months,4500,Private,Offline
25,Agri Research Intern,UrbanRise Solutions,Agriculture,Nagpur,Data Entry|Digital Marketing|Photoshop|Power BI|Tableau|Typing,3 months,13500,PSU,Hybrid
26,GIS Mapping Intern,EduBridge Alliance,GIS,Pune,ArcGIS|CSS|Excel|Figma|Linux|Power BI|Typing,1 month,8500,Govt,Hybrid
27,Compliance Intern,CivicLink Foundation,Law,Bhopal,Figma|Linux|Networking|Photoshop|QGIS|Research|SQL,1 month,8500,Govt,Hybrid
28,Solar Projects Intern,FutureWave Tech,Renewable Energy,Kochi,AutoCAD|CSS|Content Writing|Excel|Networking|Research,1 month,3500,Private,Online
29,Spatial Data Intern,Skyline Innovations,GIS,Jaipur,ArcGIS|Digital Marketing|Excel|Figma|Power BI|Python|QGIS|R|UI/UX,2 months,11500,PSU,Online
30,Travel Operations Intern,HealthSphere Analytics,Tourism,Delhi,C++|Content Writing|Digital Marketing|HTML|Networking|Tableau,3 months,6500,Startup,Offline
31,Civic Tech Intern,LexGuard Associates,E-Governance,Chennai,AutoCAD|C|CSS|Excel|Networking|Python|UI/UX,1 month,3500,Private,Offline
32,Data Analyst Intern,CivicLink Foundation,Data Analytics,Mumbai,AutoCAD|Data Entry|Illustrator|Python|R|SPSS|SQL,3 months,13500,NGO,Hybrid
33,Solar Projects Intern,DataPulse Analytics,Renewable Energy,Ranchi,AutoCAD|Excel|Illustrator|Photoshop|QGIS|UI/UX,2 months,4000,Private,Hybrid
34,Finance Analyst Intern,Innovate Labs,Finance,Gurugram,C++|Canva|Content Writing|Excel|Power BI|QGIS,2 months,14500,Startup,Hybrid
35,Clinical Research Intern,AgriNova Collective,Healthcare,Chennai,Digital Marketing|Illustrator|Power BI|Python|Research|SPSS,3 months,14000,NGO,Offline
36,Finance Analyst Intern,Insight Finance Group,Finance,Guwahati,Excel|Figma|GST|Python|Tally,6 months,5000,Private,Offline
37,Legal Research Intern,EcoVision Energy,Law,Chandigarh,Content Writing|Data Entry|Power BI|SPSS,2 months,5000,NGO,Offline
38,Compliance Intern,AgriNova Collective,Law,Jaipur,Content Writing|JavaScript|Photoshop|Power BI|Python|Research|SPSS,2 months,7000,PSU,Online
39,Security Analyst Intern,TourEase Travels,Cybersecurity,Visakhapatnam,C++|Canva|JavaScript|Networking|Photoshop|React|Tableau,6 months,6500,NGO,Hybrid
40,Agri Research Intern,TourEase Travels,Agriculture,Patna,Digital Marketing|SPSS|Tally|UI/UX,3 months,3500,Private,Offline
41,GIS Mapping Intern,AgriNova Collective,GIS,Pune,ArcGIS|Excel|Illustrator|QGIS|Research,6 months,13000,Govt,Online
42,IT Support Intern,Innovate Labs,IT,Raipur,GST|Java|Power BI|R|Tally,2 months,4000,Startup,Offline
43,Civic Tech Intern,SecureNet Systems,E-Governance,Patna,Excel|Illustrator|Research|SEO|SolidWorks,2 months,3500,PSU,Online
44,Full Stack Intern,MapCraft GIS,IT,Noida,AutoCAD|CSS|Java|JavaScript|Research|UI/UX,2 months,6500,Govt,Online
45,IT Support Intern,EcoVision Energy,IT,Jaipur,CSS|HTML|Java|Linux|SolidWorks,6 months,14500,Private,Hybrid
46,Agri Research Intern,PolicyWorks India,Agriculture,Mumbai,Data Entry|Excel|Illustrator|Power BI|SEO|SPSS|SolidWorks|Typing,6 months,14000,PSU,Offline
47,Field Operations Intern,NextGen Logistics,Agriculture,Nagpur,C|C++|Content Writing|Data Entry|Excel|Figma|Power BI|SPSS,1 month,11500,NGO,Hybrid
48,Travel Operations Intern,TourEase Travels,Tourism,Mumbai,C++|Canva|Content Writing|Digital Marketing|Excel|Illustrator|QGIS,1 month,12000,Startup,Offline
49,Clinical Research Intern,FutureWave Tech,Healthcare,Gurugram,C++|Digital Marketing|Excel|Figma|QGIS|React|SPSS,2 months,3500,PSU,Online
50,Social Media Intern,HealthSphere Analytics,Media,Remote,Content Writing|Digital Marketing|Illustrator|Python|SEO|SQL|Tableau|Typing,1 month,10000,PSU,Online
51,Cyber Risk Intern,DataPulse Analytics,Cybersecurity,Nagpur,Canva|Networking|Photoshop|Python|QGIS|R|Research|Typing,1 month,6500,Startup,Hybrid
52,Learning Design Intern,CivicLink Foundation,Education,Chandigarh,AutoCAD|Content Writing|Digital Marketing|Excel|R|Research|SEO|Typing,1 month,4000,Private,Offline
53,Business Intelligence Intern,LexGuard Associates,Data Analytics,Mysuru,AutoCAD|Linux|Power BI|SEO|SPSS|Typing,1 month,11000,NGO,Hybrid
54,Security Analyst Intern,EcoVision Energy,Cybersecurity,Ahmedabad,C++|HTML|Illustrator|Linux,2 months,6000,NGO,Online
55,Data Analyst Intern,UrbanRise Solutions,Data Analytics,Indore,Figma|Java|Networking|Power BI|Python|SQL,3 months,10000,Startup,Hybrid
56,Supply Chain Intern,Innovate Labs,Logistics,Mysuru,AutoCAD|Content Writing|Excel|GST|Networking|SPSS|SQL,6 months,7000,Private,Online
57,Software Intern,FutureWave Tech,IT,Pune,Content Writing|Linux|SPSS|SQL|Tableau|Typing|UI/UX,2 months,12500,NGO,Offline
58,Business Intelligence Intern,MapCraft GIS,Data Analytics,Ranchi,C|Canva|Excel|Power BI|Python|R|React|Tally|UI/UX,6 months,10500,PSU,Hybrid
59,Governance Analyst Intern,Skyline Innovations,Public Policy,Pune,C|Content Writing|Excel|GST|Networking|Research,2 months,7500,Govt,Online
60,Agri Research Intern,Skyline Innovations,Agriculture,Mysuru,CSS|Excel|Photoshop|Python|R|Research|SPSS|SQL|Tableau,3 months,8500,NGO,Hybrid
61,Content Strategist Intern,UrbanRise Solutions,Media,Mumbai,Content Writing|JavaScript|Python|SolidWorks,6 months,13000,NGO,Online
62,Graphic Design Intern,NextGen Logistics,Design,Ranchi,AutoCAD|C|Content Writing|Data Entry|Figma|React,2 months,12000,Govt,Online
63,Data Analyst Intern,UrbanRise Solutions,Data Analytics,Hyderabad,Content Writing|Java|Power BI|R|React,2 months,10500,Private,Hybrid
64,Digital Governance Intern,Spectrum Media House,E-Governance,Guwahati,Excel|Java|Python|SEO|SQL,1 month,9000,NGO,Offline
65,Data Analyst Intern,PolicyWorks India,Data Analytics,Ranchi,ArcGIS|Content Writing|Power BI|Python|QGIS|R|React,1 month,14500,Private,Offline
66,Field Operations Intern,Insight Finance Group,Agriculture,Delhi,CSS|GST|Research|UI/UX,6 months,7500,NGO,Online
67,Civic Tech Intern,LexGuard Associates,E-Governance,Indore,C++|Content Writing|Excel|GST|JavaScript|Python|SPSS|SQL,1 month,5500,NGO,Online
68,Field Operations Intern,TourEase Travels,Agriculture,Bengaluru,C++|Data Entry|HTML|Networking|Power BI|QGIS|SPSS|SolidWorks,2 months,14000,Startup,Offline
69,Sustainability Intern,TourEase Travels,Renewable Energy,Chandigarh,AutoCAD|C|React|Tableau,6 months,3000,Govt,Online
70,Civic Tech Intern,HealthSphere Analytics,E-Governance,Nagpur,C|Digital Marketing|Excel|Figma|React,6 months,7000,Startup,Hybrid
71,Travel Operations Intern,LexGuard Associates,Tourism,Mumbai,Content Writing|Excel|SEO|UI/UX,3 months,7000,Private,Offline
72,Agri Research Intern,HealthSphere Analytics,Agriculture,Hyderabad,CSS|Canva|Excel|Photoshop|Research|SEO|SPSS|SolidWorks,6 months,7000,Private,Offline
73,Social Media Intern,Innovate Labs,Media,Mysuru,CSS|Canva|Digital Marketing|Networking|SEO|SPSS|SQL|SolidWorks,1 month,5000,Govt,Online
74,Policy Research Intern,DataPulse Analytics,Public Policy,Kochi,ArcGIS|Java|Research|SPSS|UI/UX,2 months,12000,Private,Online
75,Civic Tech Intern,DataPulse Analytics,E-Governance,Surat,AutoCAD|Canva|Excel|Python|Research|SEO|SQL|Typing,2 months,8000,Private,Hybrid
76,Civic Tech Intern,Innovate Labs,E-Governance,Pune,Data Entry|Excel|JavaScript|Python|SQL,6 months,8500,NGO,Hybrid
77,Full Stack Intern,UrbanRise Solutions,IT,Noida,ArcGIS|CSS|Content Writing|Illustrator|JavaScript|Tableau,2 months,4500,Private,Hybrid
78,Product Design Intern,TourEase Travels,Design,Surat,CSS|Content Writing|Illustrator|Linux|Power BI|SolidWorks,2 months,8500,Govt,Offline
79,Policy Research Intern,PolicyWorks India,Public Policy,Jaipur,ArcGIS|Content Writing|Excel|Python|QGIS|Research,1 month,14000,Startup,Offline
80,Governance Analyst Intern,MapCraft GIS,Public Policy,Hyderabad,C|CSS|Content Writing|Excel|Power BI|Research|SEO,6 months,8500,PSU,Offline
81,Travel Operations Intern,FutureWave Tech,Tourism,Indore,C|Data Entry|Digital Marketing|Excel|Research|Typing,1 month,12500,NGO,Offline
82,Tour Planning Intern,EduBridge Alliance,Tourism,Kolkata,Canva|Content Writing|Digital Marketing|Excel|React|UI/UX,3 months,14000,Startup,Offline
83,Learning Design Intern,GreenGrowth Initiatives,Education,Patna,C++|Content Writing|Excel|HTML|QGIS|React,2 months,12000,NGO,Online
84,Civic Tech Intern,HealthSphere Analytics,E-Governance,Patna,AutoCAD|Excel|Photoshop|Research|SQL|UI/UX,3 months,5500,NGO,Hybrid
85,Clinical Research Intern,Spectrum Media House,Healthcare,Raipur,Canva|Excel|JavaScript|QGIS|Research|SPSS|SQL,3 months,12500,PSU,Offline
86,Governance Analyst Intern,GreenGrowth Initiatives,Public Policy,Thiruvananthapuram,C++|Content Writing|Data Entry|Excel|Photoshop|Research|SQL,3 months,13000,Private,Online
87,Spatial Data Intern,MapCraft GIS,GIS,Patna,ArcGIS|Excel|Illustrator|QGIS|SEO,3 months,9000,Startup,Hybrid
88,Product Design Intern,SecureNet Systems,Design,Ahmedabad,AutoCAD|GST|Photoshop|QGIS|Research|SPSS,1 month,14000,Private,Online
89,Investment Research Intern,Spectrum Media House,Finance,Thiruvananthapuram,AutoCAD|Excel|GST|Power BI|Research|SEO|SQL|Tableau,2 months,7000,NGO,Hybrid
90,Healthcare Data Intern,Insight Finance Group,Healthcare,Surat,Data Entry|Digital Marketing|Excel|Python|Research|Tally,6 months,8000,Private,Online
91,Content Strategist Intern,BrightPath Designs,Media,Visakhapatnam,CSS|Content Writing|Digital Marketing|Illustrator|Photoshop|Power BI|React|Tableau,1 month,15000,Private,Hybrid
92,Field Operations Intern,BrightPath Designs,Agriculture,Kolkata,Research|SPSS|SolidWorks,2 months,11500,Startup,Online
93,Finance Analyst Intern,PolicyWorks India,Finance,Thiruvananthapuram,Canva|Excel|Power BI|Python|R|React|SQL|Tally,3 months,14000,Govt,Offline
94,Compliance Intern,CivicLink Foundation,Law,Raipur,Canva|Content Writing|Data Entry|Photoshop|R|Research|Typing,6 months,13500,Startup,Online
95,Civic Tech Intern,AgriNova Collective,E-Governance,Jaipur,CSS|Content Writing|Networking|SQL|SolidWorks|Tableau,2 months,15000,NGO,Hybrid
96,Product Design Intern,Spectrum Media House,Design,Noida,C|Canva|Figma|JavaScript|Research,3 months,7000,NGO,Offline
97,Supply Chain Intern,NextGen Logistics,Logistics,Noida,ArcGIS|JavaScript|R|SQL,2 months,8500,Private,Offline
98,Field Operations Intern,BrightPath Designs,Agriculture,Remote,C|C++|CSS|JavaScript|Networking|SPSS,3 months,8000,PSU,Hybrid
99,Full Stack Intern,MapCraft GIS,IT,Remote,ArcGIS|Figma|Linux|React|SPSS,1 month,10000,NGO,Hybrid
100,Supply Chain Intern,HealthSphere Analytics,Logistics,Guwahati,Excel|Tableau|Tally|Typing,1 month,5500,PSU,Hybrid
101,Legal Research Intern,Spectrum Media House,Law,Gurugram,Content Writing|Java|R|SPSS,3 months,6000,Private,Hybrid
102,Tour Planning Intern,MapCraft GIS,Tourism,Bengaluru,Content Writing|Digital Marketing|Excel|Figma|Linux|SEO|Typing,2 months,9000,Govt,Offline
103,Civic Tech Intern,Spectrum Media House,E-Governance,Indore,ArcGIS|C++|Excel|Python|React|Research|Tableau|Tally,6 months,6000,PSU,Offline
104,Travel Operations Intern,BrightPath Designs,Tourism,Kolkata,AutoCAD|Digital Marketing|Power BI|Python,2 months,7000,Govt,Offline
105,Finance Analyst Intern,MapCraft GIS,Finance,Thiruvananthapuram,AutoCAD|Content Writing|Excel|Figma|Java|Linux|React,2 months,12500,Govt,Hybrid
106,Governance Analyst Intern,AgriNova Collective,Public Policy,Pune,Content Writing|Excel|QGIS|Research|Tableau,6 months,4500,PSU,Hybrid
107,Governance Analyst Intern,Spectrum Media House,Public Policy,Kolkata,C++|Digital Marketing|Excel|Java|R|Research|SPSS|UI/UX,3 months,10500,Private,Hybrid
108,Learning Design Intern,SecureNet Systems,Education,Thiruvananthapuram,AutoCAD|Content Writing|Excel|QGIS|Research|UI/UX,2 months,6500,Govt,Hybrid
109,Sustainability Intern,Skyline Innovations,Renewable Energy,Jaipur,Excel|Java|Networking|Python|Research|Tally,6 months,9500,Startup,Offline
110,Investment Research Intern,PolicyWorks India,Finance,Bhopal,AutoCAD|JavaScript|Photoshop|Python|SQL|Tally|Typing,6 months,11000,PSU,Online
111,Cyber Risk Intern,HealthSphere Analytics,Cybersecurity,Pune,ArcGIS|C++|Digital Marketing|Java|Networking|Python|QGIS|Tally,2 months,3500,Startup,Hybrid
112,Solar Projects Intern,EduBridge Alliance,Renewable Energy,Thiruvananthapuram,AutoCAD|Excel|Java|Research|SPSS|SolidWorks,6 months,14000,Private,Hybrid
113,IT Support Intern,Skyline Innovations,IT,Kochi,Digital Marketing|Excel|GST|Python|R,6 months,9500,Private,Hybrid
114,Supply Chain Intern,Innovate Labs,Logistics,Kolkata,Digital Marketing|Excel|Networking|Power BI|R|SQL,6 months,7000,Private,Offline
115,Compliance Intern,Innovate Labs,Law,Raipur,Content Writing|Networking|Research|SEO|SPSS,6 months,10500,Private,Hybrid
116,Solar Projects Intern,Skyline Innovations,Renewable Energy,Remote,AutoCAD|C|C++|Excel|HTML|Illustrator|Java,1 month,8500,NGO,Hybrid
117,Cyber Risk Intern,DataPulse Analytics,Cybersecurity,Bengaluru,ArcGIS|AutoCAD|GST|Linux|Networking|Python|SolidWorks|Tableau,1 month,6000,Govt,Hybrid
118,Travel Operations Intern,Innovate Labs,Tourism,Ranchi,Content Writing|Data Entry|Digital Marketing|Excel|Java|Linux|Photoshop,2 months,9000,Govt,Offline
119,Content Strategist Intern,AgriNova Collective,Media,Visakhapatnam,ArcGIS|Digital Marketing|Networking|R,1 month,3000,PSU,Online
120,GIS Mapping Intern,UrbanRise Solutions,GIS,Remote,CSS|Content Writing|Excel|Illustrator|Python|Tally|Typing,3 months,9500,PSU,Online
121,Clinical Research Intern,Skyline Innovations,Healthcare,Jaipur,ArcGIS|Excel|Linux|Networking|Power BI|SolidWorks|Tally,2 months,8500,NGO,Hybrid
122,Agri Research Intern,EduBridge Alliance,Agriculture,Jaipur,ArcGIS|GST|Linux|Networking|Research|SEO|SPSS,1 month,8000,PSU,Hybrid
123,Digital Governance Intern,Spectrum Media House,E-Governance,Indore,Excel|Illustrator|Linux|Python,6 months,10500,Govt,Online
124,Learning Design Intern,BrightPath Designs,Education,Bengaluru,Content Writing|Figma|HTML|Research,3 months,9500,Startup,Online
125,Cyber Risk Intern,PolicyWorks India,Cybersecurity,Lucknow,AutoCAD|Data Entry|Digital Marketing|Figma|Linux|Typing,1 month,12500,NGO,Hybrid
126,Field Operations Intern,TourEase Travels,Agriculture,Chennai,ArcGIS|AutoCAD|Data Entry|Excel|Power BI|Python|SPSS|Typing,1 month,7000,Startup,Online
127,Sustainability Intern,MapCraft GIS,Renewable Energy,Bhopal,AutoCAD|Digital Marketing|Excel|Java|QGIS|React|Research,1 month,9000,NGO,Online
128,Data Analyst Intern,SecureNet Systems,Data Analytics,Thiruvananthapuram,CSS|Python|SQL|Tableau,2 months,8000,Private,Hybrid
129,Supply Chain Intern,NextGen Logistics,Logistics,Ahmedabad,Excel|Linux|Power BI|QGIS|Research|SEO|SQL|Tableau,3 months,11000,Startup,Online
130,Supply Chain Intern,Insight Finance Group,Logistics,Jaipur,Excel|GST|Research|SPSS|SQL,2 months,13500,Startup,Hybrid
131,Learning Design Intern,Skyline Innovations,Education,Ahmedabad,Canva|Content Writing|Data Entry|Excel|Research,1 month,14000,Startup,Hybrid
132,Finance Analyst Intern,AgriNova Collective,Finance,Bengaluru,ArcGIS|CSS|JavaScript|SEO|SQL|UI/UX,1 month,15000,Govt,Online
133,Software Intern,Insight Finance Group,IT,Noida,C++|Canva|React|SQL,1 month,15000,Govt,Offline
134,Supply Chain Intern,UrbanRise Solutions,Logistics,Ranchi,C++|Data Entry|Excel|React|UI/UX,2 months,15000,Govt,Offline
135,Academic Research Intern,DataPulse Analytics,Education,Patna,AutoCAD|Content Writing|GST|Tableau|UI/UX,1 month,5500,PSU,Online
136,Clinical Research Intern,Insight Finance Group,Healthcare,Jaipur,Excel|Python|React|SPSS|SolidWorks|UI/UX,3 months,13000,Startup,Offline
137,Tour Planning Intern,NextGen Logistics,Tourism,Chandigarh,Content Writing|Figma|Research|SEO|SQL|SolidWorks,6 months,4500,PSU,Online
138,Content Strategist Intern,Insight Finance Group,Media,Patna,ArcGIS|Canva|JavaScript|SQL|SolidWorks|Tally,6 months,11500,Govt,Offline
139,Graphic Design Intern,Skyline Innovations,Design,Visakhapatnam,ArcGIS|Canva|Photoshop|Python|Research|Typing|UI/UX,6 months,8000,Startup,Offline
140,Graphic Design Intern,LexGuard Associates,Design,Guwahati,Canva|Content Writing|Linux|Python|QGIS|SQL|UI/UX,3 months,8000,NGO,Offline
141,Supply Chain Intern (2),Insight Finance Group,Logistics,Jaipur,Content Writing|GST|Networking|Power BI|Research|SQL|SolidWorks,6 months,4500,NGO,Online
142,GIS Mapping Intern,MapCraft GIS,GIS,Lucknow,ArcGIS|Canva|Excel|QGIS|SEO|Tally|UI/UX,1 month,11500,PSU,Offline
143,IT Support Intern,TourEase Travels,IT,Surat,CSS|Data Entry|GST|HTML|JavaScript|R|React|SEO,1 month,14000,Private,Online
144,Field Operations Intern,FutureWave Tech,Agriculture,Remote,ArcGIS|C|Canva|SPSS|Tableau,6 months,6000,PSU,Online
145,Investment Research Intern,FutureWave Tech,Finance,Ahmedabad,Digital Marketing|Java|Power BI|Python|SEO,6 months,12500,Govt,Online
146,Social Media Intern,MapCraft GIS,Media,Thiruvananthapuram,ArcGIS|C|Content Writing|Linux|SEO|SolidWorks,6 months,5500,PSU,Hybrid
147,IT Support Intern,HealthSphere Analytics,IT,Patna,CSS|Content Writing|HTML|Linux|Networking|Tally,1 month,6500,Private,Offline
148,Social Media Intern,TourEase Travels,Media,Bhopal,Content Writing|Digital Marketing|GST|R|SPSS|SolidWorks,6 months,4500,PSU,Offline
149,GIS Mapping Intern,EcoVision Energy,GIS,Jaipur,ArcGIS|C++|Excel|Illustrator|Python|QGIS|SolidWorks,6 months,4000,PSU,Hybrid
150,Graphic Design Intern,AgriNova Collective,Design,Mysuru,C|Canva|Data Entry|Networking|Photoshop|QGIS,3 months,4000,PSU,Offline
151,Tour Planning Intern,SecureNet Systems,Tourism,Mumbai,Content Writing|Digital Marketing|Excel|Figma|GST|Networking|SQL|Typing,6 months,6500,Private,Online
152,Clinical Research Intern,DataPulse Analytics,Healthcare,Patna,Illustrator|Java|Networking|Python|React|Research|SEO|SPSS,2 months,13500,NGO,Offline
153,Agri Research Intern,FutureWave Tech,Agriculture,Surat,ArcGIS|C++|Excel|Java|Photoshop|R|Research|SPSS,6 months,9000,NGO,Hybrid
154,Compliance Intern,AgriNova Collective,Law,Patna,C|C++|Canva|Content Writing|Digital Marketing|JavaScript|Research,3 months,11500,Private,Offline
155,Cyber Risk Intern,NextGen Logistics,Cybersecurity,Raipur,Digital Marketing|JavaScript|Linux|Networking|Python|React,2 months,14500,Startup,Offline
156,Cyber Risk Intern,AgriNova Collective,Cybersecurity,Lucknow,Canva|Data Entry|Linux|Power BI|Python|Tally,1 month,8000,NGO,Online
157,Supply Chain Intern,BrightPath Designs,Logistics,Gurugram,C++|Data Entry|HTML|SQL,6 months,6500,Startup,Offline
158,Product Design Intern,EduBridge Alliance,Design,Noida,AutoCAD|CSS|Canva|Figma,6 months,12000,NGO,Hybrid
159,Policy Research Intern,FutureWave Tech,Public Policy,Delhi,Content Writing|Excel|JavaScript|Photoshop|QGIS|Research|SEO|Tableau,1 month,14000,Govt,Offline
160,Civic Tech Intern,SecureNet Systems,E-Governance,Raipur,Canva|HTML|Python|Research|SQL|Tally,6 months,7000,NGO,Hybrid
161,Supply Chain Intern,HealthSphere Analytics,Logistics,Lucknow,Canva|Photoshop|Power BI|R|SPSS|SQL|Tableau,2 months,4000,Private,Online
162,Learning Design Intern,LexGuard Associates,Education,Delhi,Content Writing|Digital Marketing|Excel|Figma|Research|UI/UX,6 months,3500,Govt,Hybrid
163,Academic Research Intern,CivicLink Foundation,Education,Mysuru,CSS|Content Writing|Digital Marketing|GST|Linux|Power BI|React|Research,3 months,15000,PSU,Online
164,Travel Operations Intern,Insight Finance Group,Tourism,Ranchi,C++|Content Writing|Illustrator|React,3 months,4500,PSU,Hybrid
165,Field Operations Intern,FutureWave Tech,Agriculture,Jaipur,Data Entry|Excel|React|Typing|UI/UX,1 month,12500,Startup,Online
166,Learning Design Intern,FutureWave Tech,Education,Chandigarh,CSS|Excel|Linux|SPSS,6 months,14500,Govt,Offline
